candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
10,false,-1,15.80,158,12957,4782,0,22,8,16,2,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-j-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,-2456,24,2248290,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=B,O;strong=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-003]|[red-myco-004]"
11,false,-1,18.10,181,13553,4195,0,23,6,18,4,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-e-001|cell-h-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,-8569,24,2221026,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-e-001,cell-h-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=E,H,L,O;strong=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002]|[cell-a-002,cell-h-001]|[cell-k-001,cell-o-001]|[cell-b-001]|[cell-e-001]|[cell-i-001]|[cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002]|[cell-a-002,cell-h-001]|[cell-k-001,cell-o-001]|[cell-b-001]|[cell-e-001]|[cell-i-001]|[cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
12,false,-1,16.50,165,11428,4411,0,22,8,16,5,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,-11401,24,2246755,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B,L,N,O,Q;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002,red-myco-003]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,red-myco-001]|[cell-a-001,cell-c-001,cell-d-002,cell-p-001]|[cell-b-001]|[cell-d-001]|[cell-k-001]|[cell-l-001]|[cell-n-001]|[cell-o-001]|[cell-q-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002,red-myco-003]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,red-myco-001]|[cell-a-001,cell-c-001,cell-d-002,cell-p-001]|[cell-b-001]|[cell-d-001]|[cell-k-001]|[cell-l-001]|[cell-n-001]|[cell-o-001]|[cell-q-001]|[red-myco-004]"
13,false,-1,23.70,237,17595,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,12216,24,2459337,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
14,false,-1,24.20,242,17588,6591,0,24,9,15,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,22998,24,2459873,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
15,false,-1,24.60,246,18495,6596,0,24,9,15,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,23258,24,2545323,"needs-repair cell-a-001: empty/local stress Q->I from adjacent cell-i-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
16,false,-1,24.10,241,18471,6592,0,24,9,15,0,cell-a-001|cell-a-002|cell-b-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,23422,24,2460773,"needs-repair cell-c-001: empty/local stress M->A from adjacent cell-d-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
17,false,-1,24.10,241,18471,6589,0,24,9,15,0,cell-a-001|cell-a-002|cell-b-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,22936,24,2461223,"needs-repair cell-c-001: empty/local stress M->P from adjacent cell-d-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
18,false,-1,24.00,240,17600,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,13110,24,2460923,"needs-repair cell-i-001: empty/local stress K->H from adjacent cell-a-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
19,false,-1,24.00,240,17600,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,13110,24,2459523,"needs-repair cell-i-001: empty/local stress O->H from adjacent cell-a-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
